ensemblID	Young1	Young2	Young3	Young4	Young5	Old1	Old2	Old3	Old4	Old5	Old6
ENSMUSG00000026193	1315.08	1237.19	1652.59	1069.21	1122.80	1368.02	1219.89	1065.73	1507.29	1651.85	1351.71
ENSMUSG00000072774	23.33	14.29	22.06	17.48	17.08	27.11	22.18	16.89	22.23	17.55	16.69
ENSMUSG00000073542	117.43	121.49	138.48	146.87	145.15	141.73	135.69	162.66	127.56	138.47	144.63
ENSMUSG00000068036	1895.24	1975.04	1953.45	1633.10	1753.79	1932.48	1988.36	2098.57	1896.98	1866.37	1943.19
ENSMUSG00000060559	14.00	12.51	13.48	18.36	15.37	18.49	13.05	17.78	16.38	19.50	5.56
ENSMUSG00000075705	293.19	299.25	309.44	341.83	277.50	343.85	307.91	257.77	361.61	340.32	331.90
ENSMUSG00000026384	660.26	871.84	794.12	712.51	964.84	894.76	857.19	914.63	809.81	752.79	871.47
ENSMUSG00000027698	3030.68	3281.01	3365.23	3339.63	3323.15	3719.53	3453.54	3428.29	3458.10	3243.24	3500.71
ENSMUSG00000022656	699.15	828.07	745.10	723.00	876.89	815.88	845.44	983.96	727.90	742.06	810.28
ENSMUSG00000005506	4446.86	4790.64	4726.15	4387.85	5304.06	4937.19	4968.29	5837.07	4744.20	4826.82	4787.52
ENSMUSG00000030663	951.12	1012.08	950.38	980.03	1110.85	1120.30	1088.12	1048.84	1043.87	1070.68	982.72
ENSMUSG00000027907	21.00	15.19	17.77	25.35	29.88	22.18	24.79	21.33	23.41	35.10	9.27
ENSMUSG00000054648	257.42	274.24	260.42	287.63	289.45	314.27	258.33	291.54	294.90	277.91	305.94
ENSMUSG00000043833	56.77	30.37	42.28	25.35	36.72	39.44	26.09	59.55	43.30	44.86	29.67
ENSMUSG00000040037	2700.16	3742.83	3748.20	3613.27	3401.70	4088.03	3835.81	3582.95	3635.98	3399.25	3367.21
ENSMUSG00000059839	181.98	250.12	243.87	311.23	238.22	278.53	289.64	276.43	245.75	235.98	231.77
ENSMUSG00000020459	426.95	468.97	461.40	446.74	438.02	480.65	481.43	523.53	461.08	421.25	487.65
ENSMUSG00000040843	811.91	886.13	932.61	839.28	849.57	989.66	972.00	855.96	938.54	795.69	964.18
ENSMUSG00000019797	297.08	269.77	243.26	254.41	313.36	287.16	290.95	341.32	267.99	278.88	279.98
ENSMUSG00000020538	1522.73	1351.53	1209.57	1413.66	1437.87	1352.00	1478.22	1324.39	1490.90	1578.71	1609.44
ENSMUSG00000014547	118.21	122.38	132.35	118.02	131.49	125.71	120.03	159.10	112.34	142.37	127.94
ENSMUSG00000031422	2014.23	2209.97	2344.38	2106.94	2303.66	2424.23	2379.77	2243.46	2324.12	2361.73	2236.15
ENSMUSG00000034334	82.44	103.62	88.24	86.55	95.63	103.53	101.77	85.33	86.60	100.44	107.54
ENSMUSG00000028426	3046.23	3498.97	3375.64	3330.89	3512.70	3654.21	3612.71	3712.72	3449.91	3497.74	3383.90
ENSMUSG00000039530	3225.88	3181.85	3426.50	3247.83	3397.43	3645.58	3653.15	3244.30	3501.40	3394.38	3550.78
ENSMUSG00000037434	704.59	885.24	843.76	1013.25	968.26	976.10	979.83	905.74	904.61	900.03	954.91
ENSMUSG00000057894	437.06	506.49	489.59	500.07	601.10	585.41	494.48	673.75	506.72	495.36	461.69
ENSMUSG00000050397	16.33	16.97	11.64	13.99	11.10	9.86	20.88	16.00	10.53	18.53	12.98
ENSMUSG00000032402	1782.48	1735.64	1906.88	1459.12	1710.24	1828.95	1817.44	1794.59	1836.13	1877.10	1787.44
ENSMUSG00000074746	1495.51	1710.63	1726.12	1704.79	1911.75	1810.47	1807.01	1943.02	1683.99	1743.51	1891.27
ENSMUSG00000028291	888.13	1097.84	1087.63	1083.19	1065.59	1038.95	1153.35	1167.95	1034.50	1074.58	1181.12
ENSMUSG00000079259	63.77	53.60	49.02	48.96	61.48	57.93	41.75	76.44	56.17	47.78	74.17
ENSMUSG00000033335	991.56	987.96	850.50	854.14	914.46	957.61	945.91	949.29	1005.25	1018.02	967.89
ENSMUSG00000029486	250.42	332.30	332.11	357.57	321.04	327.83	379.67	362.65	325.33	310.09	320.78
ENSMUSG00000097515	10.89	15.19	14.09	13.11	17.08	12.32	26.09	16.00	14.04	5.85	18.54
